"MonthlyPrice","PriceChange","PriceDirection","EU_cPrice","AcitivityIndex","Oil_Price","NatGas_Price","ER_USCAD","carbon.credit","carbon.price","alberta.carbon"
24.79,NA,0,22.9685714285714,271.423095075649,53.79,3.10033333333333,1.3301,5,11,33
24.38,-0.409999999999997,0,20.8427777777778,268.423959113565,57.22,2.68257894736842,1.3206,9,11,23
21.5,-2.88,0,21.8131578947368,271.042442125472,60.14,2.8063,1.3368,39,19,44
19.597619047619,-1.90238095238095,0,25.51,278.337051716348,63.91,2.6037619047619,1.3378,37,27,93
22.0581818181818,2.46056277056277,1,25.51875,277.624195456479,53.5,2.59240909090909,1.3459,8,18,53
23.28,1.22181818181818,1,24.929375,275.818783108509,58.47,2.33035,1.3287,5,15,54
24.12,0.84,1,27.9104761904762,275.91647600446,58.58,2.30309090909091,1.3101,7,14,31
24.89,0.77,1,27.1110526315789,275.060096874256,55.1,2.17295454545455,1.3277,5,12,14
25,0.109999999999999,1,25.6994444444444,275.247031131778,54.07,2.51955,1.3241,5,15,18
25,0,0,24.442,274.248990060688,54.18,2.33926086956522,1.319,6,16,29
25,0,0,24.5447368421053,270.825742690292,55.17,2.63485714285714,1.3239,6,13,17
25,0,0,24.587,274.540564163293,61.06,2.29171428571429,1.3172,6,13,48
25.575,0.574999999999999,1,24.3494117647059,272.119830746406,51.56,2.02995238095238,1.3087,9,13,42
26.6,1.025,1,23.885,273.828437599612,47.09,1.84342105263158,1.3286,10,13,52
27.4586363636364,0.858636363636368,1,19.8684210526316,257.342634981058,20.48,1.73118181818182,1.3953,11,11,36
27.2933333333333,-0.165303030303036,0,20.0970588235294,236.148399829196,18.84,1.75933333333333,1.4058,9,15,24
27.68,0.386666666666667,1,19.5421428571429,240.090465655961,35.49,1.80915,1.397,6,13,15
27.99,0.309999999999999,1,23.2515789473684,248.338693217684,39.27,1.70309090909091,1.355,5,15,16
28,0.0100000000000016,1,27.352380952381,258.716778711444,40.27,1.76495454545455,1.3499,5,13,12
28.0161290322581,0.0161290322580641,1,26.5361111111111,256.514689395694,42.61,2.34347619047619,1.3222,3,11,11
28.5,0.483870967741936,1,27.55,263.89198768921,40.22,2.28023809523809,1.3228,3,12,12
28.5,0,0,25.1385,265.618744796241,35.79,2.84160869565217,1.3215,5,13,14
32.5333333333333,4.03333333333333,1,26.3084210526316,267.566662639244,45.34,2.87195,1.3068,5,12,12
34,1.46666666666667,1,29.7588888888889,270.46559215683,48.52,2.58427272727273,1.2808,4,14,21
34.9032258064516,0.903225806451616,1,33.51,276.205706395521,52.2,2.64873684210526,1.2724,7,14,17
38,3.09677419354838,1,37.6625,276.292575355832,61.5,2.917,1.2699,9,16,19
38,0,0,40.5173913043478,279.211456963619,59.16,2.62204347826087,1.2574,12,23,31
38,0,0,44.9385,281.150146068845,63.58,2.683,1.2496,13,20,29
38,0,0,51.975,279.929863971257,66.32,2.9595,1.2126,5,18,14
38,0,0,52.7018181818182,282.156385628359,73.47,3.27240909090909,1.2219,5,15,25
38,0,0,53.3836363636364,281.841598914314,73.95,3.81504761904762,1.2529,6,13,21
38,0,0,56.2904761904762,281.231535887706,68.5,4.03227272727273,1.2603,4,15,13
38,0,0,61.3128571428571,281.625132924539,75.03,5.11485714285714,1.2671,6,15,15
38,0,0,59.5757142857143,285.556886108004,83.57,5.57061904761905,1.2437,7,19,14
38,0,0,65.6004545454546,290.420480942859,66.18,5.12166666666667,1.257,9,18,17
45,7,1,80.6371428571429,287.310921528623,75.21,3.86381818181818,1.2794,6,12,13
45,0,0,83.2971428571429,288.542811274647,88.15,4.25545,1.2616,13,16,17
47,2,1,90.3326315789474,292.175316072185,95.72,4.46244444444444,1.2716,16,20,24
48.5,1.5,1,74.6095,292.821283486348,100.28,4.97930434782609,1.2658,22,35,41
45.375,-3.125,0,80.4055555555556,297.158556505678,104.69,6.7046,1.2628,20,21,31
45,-0.375,0,85.3915789473684,298.005885481828,114.67,8.16347619047619,1.2852,10,23,27
45,0,0,82.8188235294118,296.019632337341,105.76,7.59790476190476,1.2814,15,20,37
45,0,0,81.58,295.95149208841,98.62,7.18695,1.2942,39,20,100
45,0,0,87.6638095238095,297.707654025016,89.55,8.77947826086957,1.2922,13,16,19
45,0,0,69.5419047619048,297.198925023238,79.49,7.75752380952381,1.3319,15,16,23
48.4,3.4,1,69.475,298.439028952755,86.53,6.08490476190476,1.37,22,18,44
54,5.6,1,75.4815,297.195081887495,80.55,6.42976190476191,1.3449,14,16,19
54,0,0,86.4741666666667,294.735026788735,80.26,5.76804761904762,1.3592,10,14,19
56,2,1,79.95625,302.48547033794,78.87,3.45890476190476,1.3422,17,16,31
56,0,0,91.9805555555556,299.270789619984,77.05,2.44257894736842,1.345,15,17,19
56,0,0,89.3127272727273,297.358295370413,75.67,2.40108695652174,1.3682,15,19,24
54.9333333333333,-1.06666666666667,0,89.599375,295.612356448919,76.78,2.18795,1.3485,23,24,44
54,-0.93333333333333,0,83.9305882352941,301.41712440924,68.09,2.31004545454545,1.352,12,15,30
54,0,0,85.027,294.810735906287,70.64,2.47461904761905,1.3288,13,24,28
54,0,0,86.2485,297.312568985784,81.8,2.63655,1.3215,20,24,35
54,0,0,84.7847619047619,299.407866667614,83.63,2.64513043478261,1.3485,10,18,18
54.45,0.450000000000003,1,81.8773684210526,300.82359257598,90.79,2.69565,1.3535,15,17,20
55,0.549999999999997,1,80.76,301.888165009162,81.02,3.14918181818182,1.3717,17,20,28
55,0,0,75.879,302.83903558609,75.96,3.05552380952381,1.3709,13,20,27
53.7903225806452,-1.20967741935484,0,68.8183333333333,303.278900397894,71.65,2.53885,1.3431,12,18,23
53.6935483870968,-0.0967741935483843,0,61.6892307692308,300.789441758042,75.85,2.715,1.3425,19,22,31
54,0.306451612903224,1,55.3489473684211,303.366374429546,78.26,1.79805,1.3501,17,21,26
53.5967741935484,-0.403225806451616,0,57.4794736842105,300.674550983371,83.17,1.7473,1.3539,31,46,48
53.5,-0.0967741935483843,0,63.8263157894737,307.553814107554,81.93,1.79122727272727,1.3674,48,43,73
50.5,-3,0,70.855,305.862757510899,76.99,2.418,1.367,20,20,28
48.5083333333333,-1.99166666666667,0,68.605,303.662945068064,81.54,2.80957894736842,1.3707,16,17,25
47.75,-0.758333333333333,0,66.9,307.993262594819,77.91,2.20868181818182,1.3712,25,20,34
47.6826923076923,-0.0673076923076934,0,70.1715789473684,306.892710592936,73.55,2.08563636363636,1.3652,12,15,17
